derive_formula,formula,name,rf_time
C13H30NO2Si2,C13H30NO2Si2,valine M+0,17.916
C13H30NO2Si2,C13H30NO2Si2,valine M+1,17.916
C13H30NO2Si2,C13H30NO2Si2,valine M+2,17.916
C13H30NO2Si2,C13H30NO2Si2,valine M+3,17.916
C13H30NO2Si2,C13H30NO2Si2,valine M+4,17.916
C13H30NO2Si2,C13H30NO2Si2,valine M+5,17.916
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+0,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+1,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+2,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+3,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+4,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+5,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+6,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+7,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+8,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+9,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+10,33.229
C23H44NO3Si3,C23H44NO3Si3,tyrosine M+11,33.229
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+0,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+1,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+2,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+3,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+4,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+5,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+6,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+7,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+8,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+9,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+10,34.874
C25H45N2O2Si3,C25H45N2O2Si3,tryptophan M+11,34.874
C18H42NO3Si3,C18H42NO3Si3,threonine M+0,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+1,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+2,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+3,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+4,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+5,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+6,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+7,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+8,24.034
C18H42NO3Si3,C18H42NO3Si3,threonine M+9,24.034
C12H25O4Si2,C4H6O4,succinic acid M+0,19.586
C12H25O4Si2,C4H6O4,succinic acid M+1,19.586
C12H25O4Si2,C4H6O4,succinic acid M+2,19.586
C12H25O4Si2,C4H6O4,succinic acid M+3,19.586
C12H25O4Si2,C4H6O4,succinic acid M+4,19.586
C12H25O4Si2,C4H6O4,succinic acid M+5,19.586
C12H25O4Si2,C4H6O4,succinic acid M+6,19.586
C17H40NO3Si3,C3H7NO3,serine M+0,23.502
C17H40NO3Si3,C3H7NO3,serine M+1,23.502
C17H40NO3Si3,C3H7NO3,serine M+2,23.502
C17H40NO3Si3,C3H7NO3,serine M+3,23.502
C6H12NO3Si,C3H4O3,pyruvate M+0,10.81
C6H12NO3Si,C3H4O3,pyruvate M+1,10.81
C6H12NO3Si,C3H4O3,pyruvate M+2,10.81
C6H12NO3Si,C3H4O3,pyruvate M+3,10.81
C6H12NO3Si,C3H4O3,pyruvate M+4,10.81
C6H12NO3Si,C3H4O3,pyruvate M+5,10.81
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+0,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+1,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+2,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+3,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+4,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+5,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+6,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+7,22.883
C13H26NO3Si2,C13H26NO3Si2,pyroglutamic acid M+8,22.883
C13H28NO2Si2,C13H28NO2Si2,proline M+0,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+1,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+2,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+3,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+4,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+5,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+6,19.692
C13H28NO2Si2,C13H28NO2Si2,proline M+7,19.692
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+0,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+1,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+2,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+3,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+4,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+5,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+6,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+7,25.147
C17H30NO2Si3,C17H30NO2Si3,pheylalanine M+8,25.147
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+0,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+1,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+2,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+3,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+4,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+5,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+6,23.089
C13H30NO2SSi2,C13H30NO2SSi2,methionine M+7,23.089
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+0,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+1,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+2,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+3,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+4,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+5,29.907
C20H47N2O2Si3,C20H47N2O2Si3,lysine M+6,29.907
C14H32NO2Si2,C6H13NO2,leucine M+0,18.591
C14H32NO2Si2,C6H13NO2,leucine M+1,18.591
C14H32NO2Si2,C6H13NO2,leucine M+2,18.591
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+0,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+1,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+2,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+3,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+4,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+5,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+6,27.086
C17H40NO2SSi3,C17H40NO2SSi3,l-cysteine M+7,27.086
C11H25O3Si2,C3H6O3,latic acid M+0,15.151
C11H25O3Si2,C3H6O3,latic acid M+1,15.151
C11H25O3Si2,C3H6O3,latic acid M+2,15.151
C11H25O3Si2,C3H6O3,latic acid M+3,15.151
C14H32NO2Si2,C6H13NO2,isoleucine M+0,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+1,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+2,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+3,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+4,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+5,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+6,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+7,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+8,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+9,19.111
C14H32NO2Si2,C6H13NO2,isoleucine M+10,19.111
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+0,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+1,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+2,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+3,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+4,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+5,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+6,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+7,32.797
C20H42N3O2Si3,C20H42N3O2Si3,histidine M+8,32.797
C10H23O3Si2,C10H23O3Si2,glycolic acid M+0,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+1,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+2,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+3,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+4,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+5,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+6,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+7,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+8,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+9,15.42
C10H23O3Si2,C10H23O3Si2,glycolic acid M+10,15.42
C10H24NO2Si2,C2H5O2,glycine M+0,16.358
C10H24NO2Si2,C2H5O2,glycine M+1,16.358
C10H24NO2Si2,C2H5O2,glycine M+2,16.358
C17H41O3Si3,C17H41O3Si3,glycerol M+0,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+1,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+2,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+3,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+4,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+5,21.638
C17H41O3Si3,C17H41O3Si3,glycerol M+6,21.638
C19H42NO4Si3,C5H9NO4,glutamic acid M+0,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+1,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+2,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+3,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+4,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+5,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+6,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+7,28.193
C19H42NO4Si3,C5H9NO4,glutamic acid M+8,28.193
C12H23O4Si2,C4H4O4,fumaric acid M+0,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+1,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+2,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+3,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+4,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+5,20.068
C12H23O4Si2,C4H4O4,fumaric acid M+6,20.068
C10H26NOSi2,C10H26NOSi2,ethanolamine M+0,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+1,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+2,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+3,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+4,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+5,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+6,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+7,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+8,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+9,14.619
C10H26NOSi2,C10H26NOSi2,ethanolamine M+10,14.619
C26H55O7Si4,C6H8O7,citric acid M+0,33.098
C26H55O7Si4,C6H8O7,citric acid M+1,33.098
C26H55O7Si4,C6H8O7,citric acid M+2,33.098
C26H55O7Si4,C6H8O7,citric acid M+3,33.098
C26H55O7Si4,C6H8O7,citric acid M+4,33.098
C26H55O7Si4,C6H8O7,citric acid M+5,33.098
C26H55O7Si4,C6H8O7,citric acid M+6,33.098
C26H55O7Si4,C6H8O7,citric acid M+7,33.098
C26H55O7Si4,C6H8O7,citric acid M+8,33.098
C26H55O7Si4,C6H8O7,citric acid M+9,33.098
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+0,17.653
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+1,17.653
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+2,17.653
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+3,17.653
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+4,17.653
C11H26NO2Si2,C11H26NO2Si2,beta-alanine M+5,17.653
C18H40NO4Si3,C4H7NO4,aspartic acid M+0,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+1,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+2,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+3,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+4,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+5,26.267
C18H40NO4Si3,C4H7NO4,aspartic acid M+6,26.267
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+0,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+1,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+2,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+3,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+4,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+5,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+6,28.681
C18H41N2O3Si3,C18H41N2O3Si3,asparagine M+7,28.681
C11H26NO2Si2,C3H7O2,alanine M+0,15.952
C11H26NO2Si2,C3H7O2,alanine M+1,15.952
C11H26NO2Si2,C3H7O2,alanine M+2,15.952
C11H26NO2Si2,C3H7O2,alanine M+3,15.952
